Gen,Eth,Dis,year,count(*)
1,5,1,1982,1
1,5,2,1984,1
2,5,5,1986,1
2,5,4,1990,1
2,5,1,1991,1
2,5,3,1992,1
2,5,5,1992,1
3,5,4,1993,1
2,5,4,1995,1
3,5,4,1995,1
3,5,4,2001,1
1,5,2,2003,1
3,5,2,2005,1
3,5,4,2005,1
3,5,2,2007,1
1,5,2,2008,1
3,5,2,2010,1
1,5,4,2013,1
