year,count,,journal,count,,MeSH super-term,count
,,,The journal of gene medicine,89,,,
,,,The Journal of laboratory and clinical medicine,89,,,
,,,Cell growth & differentiation : the molecular biology journal of the American Association for Cancer Research,88,,,
,,,Frontiers in bioscience (Landmark edition),88,,,
,,,"Medical oncology (Northwood, London, England)",88,,,
,,,"Reproduction, fertility, and development",88,,,
,,,The Journal of thoracic and cardiovascular surgery,88,,,
,,,Zhonghua er ke za zhi. Chinese journal of pediatrics,88,,,
,,,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,87,,,
,,,Sheng li ke xue jin zhan [Progress in physiology],87,,,
,,,The Journal of clinical endocrinology and metabolism,87,,,
,,,BMC genomics,86,,,
,,,Gene,86,,,
,,,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",86,,,
,,,The journal of histochemistry and cytochemistry : official journal of the Histochemistry Society,86,,,
,,,The Journal of infectious diseases,86,,,
,,,Toxicology and applied pharmacology,86,,,
,,,Journal of biomedicine & biotechnology,85,,,
,,,Journal of bioscience and bioengineering,85,,,
,,,Kidney international,85,,,
,,,Acta pharmacologica Sinica,84,,,
,,,Antioxidants & redox signaling,84,,,
,,,"Clinical immunology (Orlando, Fla.)",84,,,
,,,Current opinion in molecular therapeutics,84,,,
,,,Neuro-oncology,84,,,
,,,Neuroscience research,84,,,
,,,Ugeskrift for laeger,84,,,
,,,Current opinion in neurobiology,83,,,
,,,"Journal of molecular medicine (Berlin, Germany)",83,,,
,,,The British journal of dermatology,83,,,
,,,The International journal of artificial organs,83,,,
,,,Toxicological sciences : an official journal of the Society of Toxicology,83,,,
,,,Clinical pharmacology and therapeutics,82,,,
,,,Cryobiology,82,,,
,,,Cytometry,82,,,
,,,Nature reviews. Molecular cell biology,82,,,
,,,TheScientificWorldJournal,82,,,
,,,Trends in biotechnology,82,,,
,,,Trends in cardiovascular medicine,82,,,
,,,Journal of theoretical biology,81,,,
,,,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,81,,,
,,,Science translational medicine,81,,,
,,,"Medizinische Klinik (Munich, Germany : 1983)",80,,,
,,,"Molecular endocrinology (Baltimore, Md.)",80,,,
,,,Revista de investigación clínica; organo del Hospital de Enfermedades de la Nutrición,80,,,
,,,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi,80,,,
,,,Toxicology in vitro : an international journal published in association with BIBRA,80,,,
,,,Zhonghua gan zang bing za zhi = Zhonghua ganzangbing zazhi = Chinese journal of hepatology,80,,,
,,,American journal of respiratory cell and molecular biology,79,,,
,,,British medical bulletin,79,,,
,,,Experimental gerontology,79,,,
,,,Journal of anatomy,79,,,
,,,Mechanisms of ageing and development,79,,,
,,,"Cerebral cortex (New York, N.Y. : 1991)",78,,,
,,,Current opinion in biotechnology,78,,,
,,,The Hastings Center report,78,,,
,,,Anti-cancer drugs,77,,,
,,,Biochemical Society transactions,77,,,
,,,Current pharmaceutical biotechnology,77,,,
,,,EMBO molecular medicine,77,,,
,,,Methods in molecular medicine,77,,,
,,,Molecular biology reports,77,,,
,,,Seminars in immunology,77,,,
,,,The Annals of thoracic surgery,77,,,
,,,Problemy gematologii i perelivaniia krovi,76,,,
,,,Theriogenology,76,,,
,,,Transgenic research,76,,,
,,,Calcified tissue international,75,,,
,,,Hippocampus,75,,,
,,,"In vivo (Athens, Greece)",75,,,
,,,Journal of endodontics,75,,,
,,,Oncotarget,75,,,
,,,Transfusion science,75,,,
,,,Experimental dermatology,74,,,
,,,Nature clinical practice. Cardiovascular medicine,74,,,
,,,Orvosi hetilap,74,,,
,,,Advanced drug delivery reviews,73,,,
,,,Current gene therapy,73,,,
,,,Genomics,73,,,
,,,Ophthalmology,73,,,
,,,Zhonghua zhong liu za zhi [Chinese journal of oncology],73,,,
,,,BioTechniques,72,,,
,,,European journal of cell biology,72,,,
,,,Experimental & molecular medicine,72,,,
,,,Hematology and cell therapy,72,,,
,,,Japanese journal of cancer research : Gann,72,,,
,,,Molecular medicine reports,72,,,
,,,Nature reviews. Genetics,72,,,
