"Cancer Type (1=Undefined, 2=Breast, 3=Male Prostate, 4=Lung)","Gender Index (1=Female, 2=Male, 3=Unspecified)","Ethnicity Index (1=Asian, 2=Black, 3=Hispanic,4=Native American, 5=White, 6=Unspecified)","Contaminant Status Index(0=Uncontaminated, 1=Contaminated, Derivative Line, 3=Nomenclature, 4=Parental, 5=Unresolved)","Donor Age (Years, -10=Unspecified)",Founding Year of Cell Line (-10=Undefined)
1,2,1,0,44,-10
1,2,6,2,-10,-10
1,2,5,0,72,-10
1,2,5,1,33,-10
1,2,6,0,17,-10
1,2,6,0,68,-10
1,2,6,1,20,-10
1,2,6,0,45,-10
1,2,6,0,8,-10
1,2,6,0,3,-10
1,2,6,0,47,-10
1,2,1,0,41,-10
1,2,1,0,37,-10
1,2,1,0,53,-10
1,2,1,0,51,-10
1,2,1,0,44,-10
1,2,1,0,59,-10
1,2,1,0,70,-10
1,2,1,0,29,-10
1,2,6,0,46,-10
1,2,5,0,31,-10
1,2,5,0,85,-10
1,2,6,0,92,-10
1,2,5,0,-10,-10
1,2,6,0,-10,-10
1,2,5,0,7,-10
1,2,5,0,8,-10
1,2,5,0,16,-10
1,2,5,0,29,-10
1,2,6,0,46,-10
1,2,6,0,-10,-10
1,2,6,0,45,-10
1,2,6,0,-10,-10
1,2,5,2,11.5,-10
1,2,5,2,11.5,-10
1,2,5,0,-10,-10
1,2,6,0,-10,-10
1,2,6,4,0.8,-10
1,2,6,2,0.8,-10
1,2,6,2,0.8,-10
1,2,6,1,61,-10
1,2,5,0,45,-10
1,2,5,4,43,-10
1,2,6,0,49,-10
1,2,6,0,42,-10
1,2,6,0,35,-10
1,2,5,0,26,-10
1,2,1,0,70,-10
1,2,6,4,40,-10
1,2,6,0,14,-10
1,2,5,4,30,-10
